,,,,,,,,,
Fund name,,,,,,,Your portfolio,,
,,,,,,,You put in,"₹ 6,00,000",
Your XIRR,12.7%,,,,,,You took out,₹ 0,
,,,,,,,Worth now,"₹ 8,24,864",
,"Type in the cream cells only — everything else is worked out for you. One row for every payment, with no blank rows in between, and the last row must be today's date, Worth today, and what the holding is worth now.",,,,,,Gain or loss,"₹ 2,24,864",
,Date,What happened,Amount,Used by the sheet,Which holding,,How long you have held it,5.0 years,
,01-Jan-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Feb-2020,Money in,"₹ 10,000","₹ 10,000",,,Each holding on its own,,
,01-Mar-2020,Money in,"₹ 10,000","₹ 10,000",,,Type a holding name,You put in,Its own XIRR
,01-Apr-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-May-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jun-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jul-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Aug-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Sep-2020,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Oct-2020,Money in,"₹ 10,000","₹ 10,000",,,Leave the names blank if you hold only one thing.,,
,01-Nov-2020,Money in,"₹ 10,000","₹ 10,000",,,Your portfolio XIRR is not the average of these.,,
,01-Dec-2020,Money in,"₹ 10,000","₹ 10,000",,,"It weighs each holding by how much money you actually had in it, and for how long.",,
,01-Jan-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Feb-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Mar-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Apr-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-May-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jun-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jul-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Aug-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Sep-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Oct-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Nov-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Dec-2021,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jan-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Feb-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Mar-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Apr-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-May-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jun-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jul-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Aug-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Sep-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Oct-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Nov-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Dec-2022,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jan-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Feb-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Mar-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Apr-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-May-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jun-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jul-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Aug-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Sep-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Oct-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Nov-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Dec-2023,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jan-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Feb-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Mar-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Apr-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-May-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jun-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jul-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Aug-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Sep-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Oct-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Nov-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Dec-2024,Money in,"₹ 10,000","₹ 10,000",,,,,
,01-Jan-2025,Worth today,"₹ 8,24,864","₹ 8,24,864",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
